species,KH_298K_M_atm-1,neg_dH_R_K,Ka_298K_M,neg_dH_R_dissoc_K
O3,1.13E-02,2300.0,0.0E+00,0.0
SO2,1.23E+00,3020.0,1.23E-02,2010.0
DMSO,5.0E+04,6425.0,0.0E+00,0.0
