wavelength_nm,cross_section_cm2,source
50.899606,2.54e-17,O2_Holland(1993)_298K_49-103nm.txt
50.909534,2.547e-17,O2_Holland(1993)_298K_49-103nm.txt
50.919458,2.547e-17,O2_Holland(1993)_298K_49-103nm.txt
50.929385,2.557e-17,O2_Holland(1993)_298K_49-103nm.txt
50.939313,2.562e-17,O2_Holland(1993)_298K_49-103nm.txt
50.949234,2.565e-17,O2_Holland(1993)_298K_49-103nm.txt
50.959161,2.543e-17,O2_Holland(1993)_298K_49-103nm.txt
50.969086,2.516e-17,O2_Holland(1993)_298K_49-103nm.txt
50.979013,2.491e-17,O2_Holland(1993)_298K_49-103nm.txt
50.988937,2.482e-17,O2_Holland(1993)_298K_49-103nm.txt
50.998862,2.476e-17,O2_Holland(1993)_298K_49-103nm.txt
51.008789,2.489e-17,O2_Holland(1993)_298K_49-103nm.txt
51.018713,2.489e-17,O2_Holland(1993)_298K_49-103nm.txt
51.028641,2.483e-17,O2_Holland(1993)_298K_49-103nm.txt
51.038565,2.477e-17,O2_Holland(1993)_298K_49-103nm.txt
51.048489,2.473e-17,O2_Holland(1993)_298K_49-103nm.txt
51.058414,2.505e-17,O2_Holland(1993)_298K_49-103nm.txt
51.068341,2.531e-17,O2_Holland(1993)_298K_49-103nm.txt
51.078268,2.577e-17,O2_Holland(1993)_298K_49-103nm.txt
51.088193,2.611e-17,O2_Holland(1993)_298K_49-103nm.txt
51.098117,2.599e-17,O2_Holland(1993)_298K_49-103nm.txt
51.108041,2.572e-17,O2_Holland(1993)_298K_49-103nm.txt
51.117969,2.541e-17,O2_Holland(1993)_298K_49-103nm.txt
51.127893,2.517e-17,O2_Holland(1993)_298K_49-103nm.txt
51.13782,2.496e-17,O2_Holland(1993)_298K_49-103nm.txt
51.147745,2.49e-17,O2_Holland(1993)_298K_49-103nm.txt
51.157669,2.491e-17,O2_Holland(1993)_298K_49-103nm.txt
51.167596,2.497e-17,O2_Holland(1993)_298K_49-103nm.txt
51.177521,2.483e-17,O2_Holland(1993)_298K_49-103nm.txt
51.187448,2.47e-17,O2_Holland(1993)_298K_49-103nm.txt
51.197372,2.455e-17,O2_Holland(1993)_298K_49-103nm.txt
51.2073,2.467e-17,O2_Holland(1993)_298K_49-103nm.txt
51.217224,2.479e-17,O2_Holland(1993)_298K_49-103nm.txt
51.227148,2.493e-17,O2_Holland(1993)_298K_49-103nm.txt
51.237079,2.503e-17,O2_Holland(1993)_298K_49-103nm.txt
51.246997,2.501e-17,O2_Holland(1993)_298K_49-103nm.txt
51.256927,2.52e-17,O2_Holland(1993)_298K_49-103nm.txt
51.266852,2.571e-17,O2_Holland(1993)_298K_49-103nm.txt
51.276776,2.628e-17,O2_Holland(1993)_298K_49-103nm.txt
51.286707,2.704e-17,O2_Holland(1993)_298K_49-103nm.txt
51.296625,2.743e-17,O2_Holland(1993)_298K_49-103nm.txt
51.306555,2.764e-17,O2_Holland(1993)_298K_49-103nm.txt
51.31648,2.743e-17,O2_Holland(1993)_298K_49-103nm.txt
51.326404,2.694e-17,O2_Holland(1993)_298K_49-103nm.txt
51.336334,2.613e-17,O2_Holland(1993)_298K_49-103nm.txt
51.346252,2.547e-17,O2_Holland(1993)_298K_49-103nm.txt
51.356183,2.488e-17,O2_Holland(1993)_298K_49-103nm.txt
51.366107,2.455e-17,O2_Holland(1993)_298K_49-103nm.txt
51.376031,2.46e-17,O2_Holland(1993)_298K_49-103nm.txt
51.385956,2.467e-17,O2_Holland(1993)_298K_49-103nm.txt
51.39588,2.488e-17,O2_Holland(1993)_298K_49-103nm.txt
51.40581,2.494e-17,O2_Holland(1993)_298K_49-103nm.txt
51.415735,2.506e-17,O2_Holland(1993)_298K_49-103nm.txt
51.425659,2.509e-17,O2_Holland(1993)_298K_49-103nm.txt
51.435583,2.505e-17,O2_Holland(1993)_298K_49-103nm.txt
51.445508,2.508e-17,O2_Holland(1993)_298K_49-103nm.txt
51.455432,2.523e-17,O2_Holland(1993)_298K_49-103nm.txt
51.465363,2.517e-17,O2_Holland(1993)_298K_49-103nm.txt
51.475287,2.513e-17,O2_Holland(1993)_298K_49-103nm.txt
51.485211,2.514e-17,O2_Holland(1993)_298K_49-103nm.txt
51.495136,2.51e-17,O2_Holland(1993)_298K_49-103nm.txt
51.50506,2.508e-17,O2_Holland(1993)_298K_49-103nm.txt
51.51499,2.499e-17,O2_Holland(1993)_298K_49-103nm.txt
51.524915,2.489e-17,O2_Holland(1993)_298K_49-103nm.txt
51.534839,2.481e-17,O2_Holland(1993)_298K_49-103nm.txt
51.544763,2.48e-17,O2_Holland(1993)_298K_49-103nm.txt
51.554688,2.471e-17,O2_Holland(1993)_298K_49-103nm.txt
51.564618,2.459e-17,O2_Holland(1993)_298K_49-103nm.txt
51.574542,2.443e-17,O2_Holland(1993)_298K_49-103nm.txt
51.584467,2.421e-17,O2_Holland(1993)_298K_49-103nm.txt
51.594391,2.398e-17,O2_Holland(1993)_298K_49-103nm.txt
