wavelength_nm,quantum_yield,source
220.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
250.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
280.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
290.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
300.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
306.0,0.872,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
307.0,0.836,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
308.0,0.744,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
309.0,0.585,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
310.0,0.396,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
311.0,0.241,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
312.0,0.152,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
313.0,0.112,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
314.0,0.095,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
315.0,0.09,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
316.0,0.088,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
317.0,0.087,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
318.0,0.086,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
319.0,0.085,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
320.0,0.083,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
321.0,0.082,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
322.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
323.0,0.079,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
324.0,0.078,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
325.0,0.078,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
326.0,0.077,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
327.0,0.077,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
328.0,0.077,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
330.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
335.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
340.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_203K_220-340nm.txt
