,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
temperature K,285.09454,284.7553,284.31177,283.75037,283.07056,282.3319,281.6383,280.612,279.87805,278.8271,280.18463,282.36566,282.2304,281.21844,280.2716,279.19995,277.8794,276.4029,274.8756,273.43726,272.0515,270.58344,268.94794,267.24878,265.52203,263.5241,261.12103,258.4796,255.6117,252.52496,249.36072,246.2005,242.87512,239.41254,235.90283,232.27478,228.47461,224.50214,220.68182,217.48541,215.34113,213.7691,212.1889,211.24866,210.35101,208.82019,207.1665,205.63708,204.66248,203.9798,203.78333,204.05627,205.0498,205.90955,206.29907,206.75476,207.54858,208.63324,209.7669,210.96997,212.7287,214.37189,215.99225,217.14246,217.5841,217.45331,219.03265,223.84454,231.79114,243.67883,263.25098,284.49866,290.4826,286.74115,279.30493,269.04425,258.18506,246.21356,233.28577,227.22467,208.09961,193.84998,203.51965,197.41937,175.14575
ozone column DU,265.82526,265.71085,265.55862,265.3689,265.14178,264.87717,264.5723,264.20032,263.77457,263.31006,262.78403,262.19208,261.56598,260.9179,260.24374,259.53793,258.79715,258.01865,257.19525,256.3179,255.38628,254.41663,253.42433,252.39827,251.30814,250.13046,248.86662,247.55487,246.23508,244.9425,243.70447,242.53842,241.4577,240.47221,239.55846,238.67374,237.80841,236.978,236.1744,235.35767,234.45575,233.4834,232.48058,231.30145,229.92978,228.31325,225.4358,221.02931,215.5829,210.75082,205.74274,198.01567,187.91089,176.3183,163.90248,150.74432,136.2168,121.407,106.52332,92.55242,79.86712,68.52199,58.356125,49.32564,41.116486,33.42809,26.347055,19.666283,13.748102,8.903684,5.7561727,4.1007004,2.9626472,2.0335152,1.3291239,0.80032873,0.43888494,0.21257296,0.086918436,0.035286542,0.014103771,0.008759356,0.004780277,0.0029473533,0.0024953445
NO₂,0.004057884,0.004078865,0.0041041374,0.0041365623,0.0041747093,0.0043029785,0.0056877136,0.007050991,0.007119179,0.00874424,0.009737968,0.009829521,0.009915352,0.010001659,0.010092735,0.010188103,0.010286331,0.010387421,0.010491848,0.010600567,0.010712147,0.010825634,0.010940075,0.011055946,0.011171818,0.011286736,0.011398792,0.011508942,0.01161623,0.011720657,0.011821747,0.011920452,0.012013912,0.012102604,0.012185574,0.012262344,0.012331486,0.012392521,0.012447357,0.012519836,0.012590408,0.012652874,0.01270771,0.01275444,0.012794018,0.01282692,0.012853146,0.012874603,0.012891769,0.012904644,0.012913704,0.012919903,0.012925148,0.01292944,0.012933254,0.012938023,0.012942791,0.012949467,0.012957573,0.01296711,0.0129776,0.012988567,0.013000488,0.013012886,0.0130262375,0.013041019,0.013057709,0.013109207,0.013197422,0.0133218765,0.013510227,0.013707161,0.013773441,0.013759136,0.013713837,0.013643265,0.01356554,0.013475418,0.013374805,0.0125494,0.012578964,0.012539864,0.012431145,0.012432098,0.012432098
NO₃,0.012129974,0.0121431565,0.01215924,0.012179786,0.012204719,0.012556216,0.017569544,0.022770474,0.022851042,0.028932238,0.030128706,0.030077318,0.0301081,0.030147161,0.030186469,0.0302274,0.0302708,0.030315697,0.03036101,0.030405356,0.030448824,0.030492349,0.03053646,0.030580126,0.030622898,0.030666724,0.030712651,0.030759174,0.030806094,0.030853262,0.030899402,0.030943764,0.030987747,0.031031108,0.031073019,0.031112874,0.031149643,0.031183738,0.031213887,0.031240493,0.031260774,0.03127548,0.031289205,0.03129659,0.031302847,0.031313863,0.031325374,0.031335343,0.031340227,0.031342488,0.031340588,0.03133449,0.031321984,0.031310506,0.0313031,0.03129531,0.031284824,0.031272117,0.03125935,0.03124641,0.031229207,0.031213392,0.031198107,0.031187084,0.031182285,0.031182505,0.031168373,0.031126969,0.031059112,0.030957973,0.030791821,0.030611573,0.030560743,0.030592358,0.030655302,0.030742198,0.030834181,0.030935602,0.031045139,0.027347973,0.027177913,0.026648995,0.025640775,0.025545267,0.025545267
O₂,4.5177923e-20,4.6386502e-20,4.7923607e-20,5.003963e-20,5.292231e-20,5.728643e-20,6.787157e-20,7.1567796e-20,7.6762354e-20,8.6406156e-20,8.525045e-20,9.027175e-20,9.679404e-20,1.0464416e-19,1.1388576e-19,1.246919e-19,1.373009e-19,1.5199128e-19,1.6909633e-19,1.8904583e-19,2.1236424e-19,2.3957578e-19,2.711159e-19,3.0749018e-19,3.4960796e-19,3.9891297e-19,4.5719177e-19,5.260958e-19,6.0678863e-19,7.001958e-19,8.072035e-19,9.291859e-19,1.0692259e-18,1.2347473e-18,1.4446476e-18,1.7458025e-18,2.24491e-18,3.1743807e-18,5.0304915e-18,8.838625e-18,1.6624143e-17,3.218716e-17,6.234567e-17,1.1892491e-16,2.2168381e-16,4.0287076e-16,7.1873043e-16,1.273232e-15,2.2467098e-15,3.9100464e-15,6.67178e-15,1.1446408e-14,2.0258707e-14,3.6895637e-14,6.848489e-14,1.2867832e-13,2.4568818e-13,4.7472307e-13,9.144798e-13,1.7323038e-12,3.1702431e-12,5.563638e-12,9.369011e-12,1.517509e-11,2.3766183e-11,3.6402117e-11,5.4919874e-11,8.221634e-11,1.2281365e-10,1.8181562e-10,2.5938449e-10,3.4343497e-10,4.1547174e-10,4.84802e-10,5.5743976e-10,6.3449046e-10,7.1939066e-10,8.1719265e-10,9.170247e-10,1.0688848e-09,1.367657e-09,1.9699755e-09,3.150158e-09,5.3070752e-09,1.0634222e-08
O₃,5.7145953e-06,5.7667494e-06,5.826354e-06,5.8934093e-06,5.9753656e-06,6.16163e-06,7.726252e-06,9.126961e-06,9.2461705e-06,1.0900199e-05,1.2226403e-05,1.2606382e-05,1.2814999e-05,1.296401e-05,1.3127923e-05,1.3306737e-05,1.347065e-05,1.36345625e-05,1.3805926e-05,1.3999641e-05,1.4215708e-05,1.4431775e-05,1.4647841e-05,1.4856458e-05,1.5079975e-05,1.528114e-05,1.5445054e-05,1.5594065e-05,1.5810132e-05,1.60411e-05,1.6264617e-05,1.6495585e-05,1.6704202e-05,1.6883016e-05,1.7046928e-05,1.7181039e-05,1.7285347e-05,1.7344952e-05,1.7389655e-05,1.7508864e-05,1.7859042e-05,1.8179417e-05,1.847744e-05,1.8753111e-05,1.9013882e-05,1.92523e-05,1.950562e-05,1.9855797e-05,2.0347536e-05,2.0936131e-05,2.156198e-05,2.2381544e-05,2.3655593e-05,2.5495887e-05,2.796948e-05,3.119558e-05,3.5502017e-05,4.1276217e-05,4.8860908e-05,5.863607e-05,7.087737e-05,8.606911e-05,0.00010501593,0.00012883544,0.00015921891,0.00019958615,0.00025554,0.00033862144,0.00046954304,0.00068861246,0.0010705367,0.0016262755,0.002249591,0.0030095354,0.003928326,0.0049006194,0.005807452,0.0065129995,0.006970145,0.007172838,0.0072128996,0.0072145015,0.007222481,0.0072274283,0.007230796
HNO₃,1.648747e-07,1.6622386e-07,1.6779322e-07,1.697449e-07,1.7203277e-07,1.7732131e-07,2.2433625e-07,2.6747117e-07,2.7086233e-07,3.2181688e-07,3.6161026e-07,3.7074108e-07,3.7626262e-07,3.8061125e-07,3.8549192e-07,3.9052097e-07,3.9542365e-07,4.0034377e-07,4.054614e-07,4.1104727e-07,4.170185e-07,4.23065e-07,4.2895402e-07,4.348668e-07,4.4086167e-07,4.4635928e-07,4.5100802e-07,4.5515728e-07,4.5876038e-07,4.617395e-07,4.6435719e-07,4.6673406e-07,4.6830868e-07,4.690395e-07,4.690804e-07,4.6815958e-07,4.6605857e-07,4.6269466e-07,4.5898798e-07,4.5641025e-07,4.5640826e-07,4.575511e-07,4.5797367e-07,4.5984072e-07,4.6129298e-07,4.601311e-07,4.5840193e-07,4.5768496e-07,4.6004754e-07,4.6435966e-07,4.7091126e-07,4.814568e-07,4.9995384e-07,5.2601627e-07,5.61813e-07,6.156422e-07,7.02271e-07,8.4523214e-07,1.0807098e-06,1.4657907e-06,2.0752298e-06,2.9931305e-06,4.323266e-06,6.1706705e-06,8.650289e-06,1.1934337e-05,1.6278136e-05,2.2013724e-05,2.9471688e-05,3.882475e-05,4.9950613e-05,6.123867e-05,7.05002e-05,7.884129e-05,8.68981e-05,9.435253e-05,0.00010125091,0.000107204876,0.00011196259,0.00011015587,0.00011292156,0.00011669422,0.00012115485,0.00012372788,0.00012601705
HNO₄,4.0229173e-07,4.0356207e-07,4.0508286e-07,4.0699942e-07,4.0928697e-07,4.2157478e-07,5.754916e-07,7.320639e-07,7.366487e-07,9.203055e-07,9.751512e-07,9.775866e-07,9.818823e-07,9.864817e-07,9.913737e-07,9.96544e-07,1.001982e-06,1.0076757e-06,1.0136121e-06,1.0197774e-06,1.0261575e-06,1.0327362e-06,1.0394934e-06,1.0464089e-06,1.053469e-06,1.0606709e-06,1.0680186e-06,1.0755073e-06,1.0831154e-06,1.0908111e-06,1.0985522e-06,1.1062887e-06,1.1139675e-06,1.1215329e-06,1.1289276e-06,1.1360773e-06,1.1429062e-06,1.1493736e-06,1.1554541e-06,1.1612007e-06,1.1665917e-06,1.1715126e-06,1.1759242e-06,1.1798259e-06,1.183254e-06,1.1862498e-06,1.1889997e-06,1.1918808e-06,1.1951807e-06,1.1987696e-06,1.2024196e-06,1.2069172e-06,1.2135607e-06,1.2233263e-06,1.2373506e-06,1.2577098e-06,1.2890297e-06,1.3391812e-06,1.4205743e-06,1.5528243e-06,1.7615756e-06,2.0805505e-06,2.5528252e-06,3.2300727e-06,4.1771486e-06,5.4960346e-06,7.3221236e-06,9.8615765e-06,1.3443908e-05,1.8488212e-05,2.5247538e-05,3.28839e-05,4.0451887e-05,4.8884885e-05,5.835798e-05,6.8003275e-05,7.6902674e-05,8.406131e-05,8.912395e-05,0.00014792994,0.00014987295,0.00015073565,0.00015114079,0.0001516982,0.00015202413
H₂O₂,2.3091736e-06,2.3274326e-06,2.3489804e-06,2.3759433e-06,2.407813e-06,2.4840951e-06,3.175483e-06,3.826436e-06,3.8762123e-06,4.6478012e-06,5.2134465e-06,5.3065564e-06,5.3785134e-06,5.4450393e-06,5.5174005e-06,5.5929822e-06,5.6699146e-06,5.749076e-06,5.8315472e-06,5.9189583e-06,6.010594e-06,6.10427e-06,6.198341e-06,6.2938434e-06,6.390975e-06,6.485832e-06,6.576038e-06,6.6637167e-06,6.7484243e-06,6.829509e-06,6.908439e-06,6.98571e-06,7.0575074e-06,7.123303e-06,7.1837403e-06,7.236757e-06,7.2806256e-06,7.314486e-06,7.3436254e-06,7.376661e-06,7.421872e-06,7.4698905e-06,7.5090716e-06,7.5524963e-06,7.5887665e-06,7.604635e-06,7.6125866e-06,7.6219185e-06,7.64458e-06,7.673552e-06,7.710038e-06,7.76091e-06,7.842562e-06,7.942201e-06,8.0547e-06,8.194569e-06,8.378628e-06,8.617635e-06,8.915392e-06,9.283685e-06,9.742317e-06,1.0293387e-05,1.0968723e-05,1.1797082e-05,1.282931e-05,1.41716255e-05,1.6025442e-05,1.8664297e-05,2.2463568e-05,2.7921762e-05,3.5394238e-05,4.368687e-05,5.1234216e-05,5.9213155e-05,6.7999455e-05,7.6733966e-05,8.45822e-05,9.0559006e-05,9.438205e-05,9.336441e-05,9.3398936e-05,9.306087e-05,9.2811606e-05,9.2851355e-05,9.293756e-05
H₂O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.294825e-37,3.2909483e-35,1.4770493e-33,5.640083e-32,1.8205731e-30,4.954072e-29,1.1358351e-27,2.1910565e-26,3.5566092e-25,4.8714685e-24,5.6368637e-23,5.543991e-22,4.686678e-21,3.4238663e-20,2.1533623e-19,1.1669344e-18,5.594569e-18,2.433229e-17,9.648966e-17,3.493239e-16,1.1623113e-15,3.6193116e-15,1.0755526e-14,3.1215034e-14,9.125729e-14,2.7355575e-13,8.336506e-13,2.4990652e-12,7.10695e-12,1.8730274e-11,4.541755e-11,1.0112184e-10,2.0750228e-10,3.9386625e-10,6.901982e-10,1.1169727e-09,1.7111983e-09,2.5425118e-09,3.7163852e-09,5.5784244e-09,8.863529e-09,1.4347227e-08,2.2242247e-08,3.3039896e-08,7.293486e-08,1.7569984e-07,6.0751904e-07,2.4340054e-06,5.562166e-06,8.6122745e-06
HOCl,0.000109120505,0.00010988227,0.00011079376,0.00011194157,0.000113309914,0.00011696375,0.00015227533,0.00018652235,0.00018881117,0.000229631,0.00025603236,0.00025865677,0.00026155007,0.00026464157,0.00026792596,0.00027139514,0.0002750424,0.00027886027,0.00028283946,0.0002869693,0.00029123758,0.00029563162,0.00030013797,0.00030474263,0.00030943207,0.00031419614,0.0003190277,0.00032391632,0.00032884532,0.0003337943,0.00033873867,0.00034364956,0.00034849741,0.0003532523,0.00035788328,0.00036236044,0.00036665497,0.0003707386,0.0003745817,0.00037816277,0.0003814557,0.00038443104,0.00038707705,0.0003893937,0.00039139373,0.00039309714,0.00039455827,0.00039586995,0.00039709816,0.00039822215,0.00039919795,0.00040016143,0.0004013155,0.00040275345,0.00040450628,0.00040660694,0.0004091888,0.00041235687,0.00041611714,0.00042043487,0.00042515993,0.00043019935,0.00043553408,0.00044117743,0.00044721292,0.0004539031,0.00046150872,0.0004704343,0.00048118603,0.0004940434,0.0005086732,0.0005231175,0.00053626415,0.00055048446,0.0005662915,0.0005821876,0.00059657695,0.0006077185,0.0006150905,0.0005706063,0.00056690746,0.00055673165,0.00054290716,0.00054192264,0.0005419681
