wavelength_nm,cross_section_cm2,source
585.0,4.69e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
590.0,5.39e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
595.0,4.08e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
600.0,3.95e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
605.0,1.85e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
610.0,2.54e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
615.0,3.53e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
620.0,2.57e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
625.0,1.96e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
630.0,1.21e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
635.0,1.33e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
640.0,1.53e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
645.0,1.92e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
650.0,1.35e-20,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
655.0,8.73e-21,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
660.0,5.66e-21,NO2_JPL-2010(2011)_294K_240-662.5nm(rec).txt
