Year,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,CCl4,CH3CCl3,HCFC-22,HCFC-141b,HCFC-142b,Halon-1211,Halon-1202,Halon-1301,Halon-2402,CH3Br,CH3Cl,HFC-23,CFCs,Halons,HCFCs,CCl4_eesc,CH3CCl3_eesc,CH3Br_eesc,CH3Cl_eesc
1955,3.3,14.3,1.3,1.1,0.0,42.3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,491.3,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1956,4.3,16.7,1.3,1.4,0.0,44.0,0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,6.3,495.1,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1957,5.6,19.4,1.4,1.6,0.0,45.9,0.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,498.8,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1958,6.9,22.6,1.6,1.9,0.0,47.8,0.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.4,502.6,,12.972999999999999,0.0,0.15,94.75200000000001,0.18300000000000002,245.7,216.172
1959,8.2,25.9,1.7,2.1,0.0,49.9,1.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,6.4,506.4,,15.613000000000001,0.0,0.165,98.56,0.36600000000000005,245.7,217.84400000000002
1960,9.5,29.5,1.9,2.3,0.0,52.1,1.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,6.5,510.3,,18.883999999999997,0.0,0.195,102.816,0.7320000000000001,245.7,219.472
1961,11.1,33.9,2.0,2.6,0.0,54.4,2.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,6.5,514.2,,22.511,0.0,0.22499999999999998,107.072,1.281,249.60000000000002,221.144
1962,13.3,38.8,2.3,2.8,0.0,56.8,2.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,6.6,517.9,,26.069999999999997,0.0,0.255,111.77600000000001,1.83,249.60000000000002,222.816
1963,16.1,44.4,2.5,3.0,0.0,59.3,3.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,6.6,521.5,,29.863,0.0,0.315,116.70400000000001,2.745,253.5,224.532
1964,19.5,51.1,2.8,3.3,0.0,61.8,3.9,4.1,0.0,0.0,0.0,0.0,0.0,0.0,6.7,524.9,,34.398999999999994,0.0,0.36,121.85600000000001,3.66,253.5,226.24800000000002
1965,23.5,58.8,3.1,3.5,0.0,64.4,4.7,4.9,0.0,0.0,0.0,0.0,0.0,0.0,6.7,528.1,,40.175,0.0,0.435,127.232,4.392,257.4,227.876
1966,28.1,67.5,3.5,3.8,0.0,66.9,5.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,6.8,531.0,,47.043,0.0,0.51,132.832,5.856000000000001,257.4,229.46
1967,33.1,77.3,3.9,4.1,0.1,69.3,7.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,6.9,533.6,,55.40099999999999,0.0,0.6149999999999999,138.43200000000002,7.1370000000000005,261.3,230.956
1968,38.8,88.3,4.4,4.4,0.1,71.6,10.1,8.5,0.0,0.0,0.01,0.0,0.0,0.01,6.9,536.0,,65.059,0.0,0.735,144.25600000000003,8.601,261.3,232.364
1969,45.3,100.6,4.9,4.7,0.1,73.8,13.0,10.3,0.0,0.0,0.01,0.0,0.0,0.01,7.0,538.0,,76.159,0.0,0.885,149.85600000000002,10.614,265.2,233.64000000000001
1970,52.8,114.3,5.5,5.0,0.2,75.9,16.3,12.1,0.0,0.0,0.02,0.0,0.0,0.02,7.0,539.9,,88.35800000000002,0.0,1.065,155.232,13.908,269.1,234.78400000000002
1971,61.3,129.3,6.3,5.3,0.2,78.0,19.1,14.1,0.0,0.0,0.03,0.0,0.0,0.02,7.1,541.4,,102.20299999999999,1.287,1.275,160.38400000000001,18.483,269.1,235.84
1972,70.6,145.3,7.1,5.6,0.3,80.0,22.7,16.2,0.0,0.1,0.04,0.0,0.01,0.03,7.2,542.8,,117.79999999999998,1.287,1.5450000000000002,165.312,23.79,273.0,236.72
1973,81.1,162.8,8.1,6.0,0.4,81.9,27.4,18.6,0.0,0.1,0.06,0.0,0.02,0.04,7.2,544.0,,135.576,2.574,1.815,170.01600000000002,29.829000000000004,273.0,237.55599999999998
1974,93.0,182.2,9.1,6.3,0.5,83.7,33.5,21.3,0.0,0.1,0.09,0.0,0.03,0.05,7.3,544.9,,155.55899999999997,3.003,2.1149999999999998,174.72000000000003,34.953,276.9,238.21599999999998
1975,106.1,203.1,10.4,6.8,0.7,85.5,40.0,23.8,0.0,0.2,0.23,0.01,0.04,0.06,7.4,545.8,,177.15699999999995,4.497999999999999,2.4469999999999996,179.20000000000002,41.541,280.8,238.832
1976,118.5,223.2,11.9,7.3,0.9,87.2,45.5,26.6,0.1,0.3,0.37,0.01,0.11,0.08,7.4,546.5,,201.373,6.422,2.807,183.45600000000002,50.141999999999996,280.8,239.36
