wavelength_nm,quantum_yield,source
327.0,0.58,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
328.0,0.61,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
329.0,0.63,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
330.0,0.65,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
331.0,0.67,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
332.0,0.68,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
333.0,0.7,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
334.0,0.7,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
335.0,0.71,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
336.0,0.71,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
337.0,0.7,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
338.0,0.7,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
339.0,0.68,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
340.0,0.67,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
341.0,0.65,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
342.0,0.62,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
343.0,0.59,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
344.0,0.57,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
345.0,0.53,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
346.0,0.5,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
347.0,0.47,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
348.0,0.43,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
349.0,0.4,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
350.0,0.37,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
351.0,0.33,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
352.0,0.3,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
353.0,0.27,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
354.0,0.24,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
355.0,0.22,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
356.0,0.2,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
357.0,0.17,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
358.0,0.15,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
359.0,0.14,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
360.0,0.12,CH2O{H2+CO}_Roeth(2015)_300K_250-360nm.txt
