wavelength_nm,quantum_yield,source
220.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
250.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
280.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
290.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
300.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
306.0,0.893,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
307.0,0.879,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
308.0,0.821,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
309.0,0.714,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
310.0,0.582,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
311.0,0.467,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
312.0,0.39,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
313.0,0.349,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
314.0,0.332,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
315.0,0.325,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
316.0,0.317,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
317.0,0.3,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
318.0,0.275,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
319.0,0.246,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
320.0,0.214,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
321.0,0.183,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
322.0,0.155,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
323.0,0.132,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
324.0,0.114,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
325.0,0.101,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
326.0,0.091,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
327.0,0.085,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
328.0,0.081,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
330.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
335.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
340.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_321K_220-340nm.txt
