wavelength_nm,cross_section_cm2,source
174.0,3.13e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
176.0,3.24e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
178.0,3.235e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
180.0,3.14e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
182.0,2.96e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
184.0,2.72e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
186.0,2.43e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
188.0,2.13e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
190.0,1.819e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
192.0,1.509e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
194.0,1.249e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
196.0,1.026e-18,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
198.0,8.3e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
200.0,6.6e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
202.0,5.15e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
204.0,3.93e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
206.0,2.94e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
208.0,2.15e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
210.0,1.54e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
212.0,1.09e-19,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
214.0,7.57e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
216.0,5.21e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
218.0,3.54e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
220.0,2.4e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
222.0,1.62e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
224.0,1.09e-20,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
226.0,7.3e-21,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
228.0,4.91e-21,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
230.0,3.3e-21,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
235.0,1.32e-21,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
240.0,4.7e-22,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
245.0,1.74e-22,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
250.0,6.6e-23,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
255.0,2.9e-23,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
260.0,1.5e-23,CFCl3(CFC-11)_JPL-2015(2015)_298K_174-260nm(rec).txt
