wavelength_nm,cross_section_cm2,source
102.72,1.72e-17,N2O_Nee(1999)_298K_100-212nm.txt
102.75,1.6e-17,N2O_Nee(1999)_298K_100-212nm.txt
102.79,1.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
102.86,1.45e-17,N2O_Nee(1999)_298K_100-212nm.txt
102.93,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
102.99,1.54e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.06,1.49e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.09,1.42e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.12,1.32e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.13,1.24e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.16,1.17e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.19,1.09e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.2,1.03e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.22,9.77e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.25,9.27e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.27,8.64e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.32,8.23e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.37,8.66e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.39,9.22e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.4,9.75e-18,N2O_Nee(1999)_298K_100-212nm.txt
103.43,1.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.44,1.13e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.48,1.26e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.49,1.35e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.5,1.45e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.52,1.55e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.53,1.65e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.57,1.84e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.59,2.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.61,2.2e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.63,2.38e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.66,2.57e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.68,2.74e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.71,2.9e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.78,3e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.84,2.9e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.88,2.74e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.92,2.58e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.94,2.39e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.96,2.21e-17,N2O_Nee(1999)_298K_100-212nm.txt
103.98,2.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.03,1.84e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.06,1.7e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.09,1.58e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.13,1.49e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.17,1.45e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.24,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.27,1.56e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.31,1.63e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.36,1.65e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.4,1.62e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.42,1.56e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.43,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.45,1.42e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.47,1.33e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.5,1.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.52,1.22e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.54,1.16e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.57,1.13e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.62,1.17e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.64,1.21e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.65,1.28e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.67,1.34e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.68,1.42e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.7,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.72,1.58e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.74,1.69e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.76,1.79e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.79,1.9e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.86,2e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.92,1.93e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.95,1.83e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.95,1.72e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.97,1.61e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.98,1.49e-17,N2O_Nee(1999)_298K_100-212nm.txt
104.99,1.39e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.01,1.32e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.02,1.24e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.03,1.16e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.05,1.09e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.06,1.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.07,9.8e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.08,9.24e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.1,8.76e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.14,8.3e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.17,8.76e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.19,9.86e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.19,9.28e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.2,1.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.21,1.1e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.22,1.17e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.22,1.17e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.24,1.41e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.24,1.33e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.25,1.5e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.27,1.61e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.28,1.76e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.29,1.94e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.31,2.14e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.33,2.36e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.34,2.57e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.37,2.81e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.39,3.04e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.41,3.28e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.44,3.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.47,3.73e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.53,3.85e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.6,3.73e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.63,3.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.66,3.29e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.69,3.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.71,2.82e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.72,2.41e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.73,2.37e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.75,2.15e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.76,1.93e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.78,1.74e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.78,1.6e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.79,1.41e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.8,1.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.81,1.13e-17,N2O_Nee(1999)_298K_100-212nm.txt
105.83,9.87e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.86,8.44e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.87,7.5e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.88,6.54e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.9,5.7e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.92,5.16e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.93,4.67e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.96,4.28e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.97,3.91e-18,N2O_Nee(1999)_298K_100-212nm.txt
105.99,3.62e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.02,3.38e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.06,3.29e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.12,3.26e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.19,3.31e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.21,3.4e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.22,3.57e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.24,3.72e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.27,3.91e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.31,4.25e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.33,4.52e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.36,4.79e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.39,5.04e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.42,5.25e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.46,5.49e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.52,5.57e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.6,5.48e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.63,5.31e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.7,5.12e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.74,5.01e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.79,4.96e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.84,5.05e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.88,5.2e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.92,5.45e-18,N2O_Nee(1999)_298K_100-212nm.txt
106.97,5.73e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.02,6.07e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.07,6.37e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.13,6.79e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.2,7.34e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.25,8e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.3,8.96e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.32,9.71e-18,N2O_Nee(1999)_298K_100-212nm.txt
107.36,1.08e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.39,1.19e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.44,1.28e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.47,1.37e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.5,1.43e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.56,1.47e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.62,1.44e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.67,1.4e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.71,1.38e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.77,1.41e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.8,1.47e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.84,1.53e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.87,1.62e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.89,1.71e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.92,1.81e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.96,1.92e-17,N2O_Nee(1999)_298K_100-212nm.txt
107.98,2.05e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.01,2.16e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.05,2.29e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.08,2.4e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.12,2.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.18,2.54e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.24,2.51e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.29,2.45e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.38,2.4e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.44,2.48e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.49,2.57e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.54,2.7e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.6,2.85e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.64,3.01e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.67,3.25e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.71,3.44e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.76,3.68e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.82,3.9e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.86,4.01e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.91,4.08e-17,N2O_Nee(1999)_298K_100-212nm.txt
108.98,4.09e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.03,4.15e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.08,4.29e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.12,4.45e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.16,4.6e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.22,4.68e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.27,4.6e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.31,4.48e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.36,4.29e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.39,4.09e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.43,3.88e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.48,3.7e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.53,3.53e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.57,3.3e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.62,3.09e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.64,2.91e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.67,2.74e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.69,2.59e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.72,2.43e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.75,2.27e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.77,2.13e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.8,2.03e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.82,1.95e-17,N2O_Nee(1999)_298K_100-212nm.txt
109.88,1.89e-17,N2O_Nee(1999)_298K_100-212nm.txt
