wavelength_nm,quantum_yield,source
220.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
250.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
280.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
290.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
300.0,0.9,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
306.0,0.884,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
307.0,0.862,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
308.0,0.793,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
309.0,0.671,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
310.0,0.523,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
311.0,0.394,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
312.0,0.31,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
313.0,0.265,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
314.0,0.246,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
315.0,0.239,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
316.0,0.233,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
317.0,0.222,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
318.0,0.206,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
319.0,0.187,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
320.0,0.166,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
321.0,0.146,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
322.0,0.128,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
323.0,0.113,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
324.0,0.101,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
325.0,0.092,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
326.0,0.086,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
327.0,0.082,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
328.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
330.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
335.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
340.0,0.08,O3{O(1D)+O2}_Matsumi(2002)_298K_220-340nm.txt
