wavelength_nm,cross_section_cm2,source
344.0,2.64e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
346.0,2.52e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
348.0,2.43e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
350.0,2.29e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
352.0,2.18e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
354.0,2.12e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
356.0,2.05e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
358.0,2.03e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
360.0,2e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
362.0,1.9e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
364.0,1.84e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
366.0,1.75e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
368.0,1.66e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
370.0,1.59e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
372.0,1.51e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
374.0,1.44e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
376.0,1.38e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
378.0,1.29e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
380.0,1.21e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
382.0,1.15e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
384.0,1.08e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
386.0,1.03e-21,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
388.0,9.7e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
390.0,9.09e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
392.0,8.49e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
394.0,7.8e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
396.0,7.4e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
398.0,7.1e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
400.0,6.38e-22,ClONO2_JPL-2010(2011)_298K_196-432nm(rec).txt
