year,Agriculture,Coating applications,Domestic solvent use,Food and beverages production,Fugitive emissions,Other,Other industrial processes
1990,4.318257140797232,8.958482716433544,5.514762339686034,2.9447408078406214,22.32712018521822,40.25175505894,15.684881751084346
2005,9.413219629842699,10.082452260798016,12.687605874362031,6.833992591195746,21.829114566795432,27.619653621279554,11.533961455726514
2023,16.79362561816942,6.96898680319117,22.740702523905775,16.023960016515723,12.247409562347459,14.58693083567523,10.638384640195206
2024,16.60834374386162,7.120592513634333,22.890709992472466,16.86605591070005,11.705117636209188,14.353489112045542,10.455691091076758
