wavelength_nm,cross_section_cm2,source
172.0,1.1e-20,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
174.0,9.7e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
176.0,8.25e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
178.0,6.81e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
180.0,5.42e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
182.0,4.25e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
184.0,3.26e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
186.0,2.44e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
188.0,1.75e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
190.0,1.28e-21,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
192.0,9e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
194.0,6.1e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
196.0,4.1e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
198.0,2.8e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
200.0,1.9e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
200.0,1.89e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
202.0,1.28e-22,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
204.0,8.74e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
206.0,5.95e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
208.0,4.06e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
210.0,2.76e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
212.0,1.88e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
214.0,1.28e-23,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
216.0,8.73e-24,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
218.0,5.94e-24,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
220.0,4.05e-24,CF3Cl(CFC-13)_JPL-2010(2011)_296K_172-220nm(rec).txt
